concept;term;pinyin;translation;category,
heart-mind;心无所知;xīn wú suǒ zhī;heart-mind without knowing;Daoist,
heart-mind;心止于符;xīn zhǐ yú fú;heart-mind stops at correspondence;Daoist,
heart-mind;心与物化;xīn yǔ wù huà;heart-mind transforms with things;Daoist,
heart-mind;虚心;xūxīn;empty heart-mind;Daoist,
heart-mind;常心;chángxīn;constant heart-mind;Daoist,
heart-mind;机心;jīxīn;calculating heart-mind;Daoist,
forgetting;坐忘;zuòwàng;sitting and forgetting;Daoist,
forgetting;忘己;wàngjǐ;forget self;Daoist,
forgetting;相忘于江湖;xiāng wàng yú jiānghú;forget each other in rivers and lakes;Daoist,
forgetting;忘年;wàngnián;forget years (age);Daoist,
forgetting;忘言;wàngyán;forget words;Daoist,
forgetting;忘乎所以;wàng hū suǒyǐ;forget oneself;Daoist,
forgetting;忘形;wàngxíng;forget form;Daoist,
forgetting;忘情;wàngqíng;forget emotions;Daoist,
forgetting;忘怀;wànghuái;forget cares;Daoist,
mandate of heaven;天听自我民听;tiān tīng zì wǒ mín tīng;Heaven's hearing comes from people's hearing;Confucian,
heaven;上天;shàngtiān;Upper Heaven;Cross-Tradition Terms,
heaven;皇天;huángtiān;August Heaven;Cross-Tradition Terms,
heaven;苍天;cāngtiān;Azure Heaven;Cross-Tradition Terms,
heaven;昊天;hàotiān;Vast Heaven;Cross-Tradition Terms,
heaven;老天爷;lǎotiānyé;Old Heaven Grandfather;Cross-Tradition Terms,
heaven;天意;tiānyì;Heaven's will;Cross-Tradition Terms,
earth;大地;dàdì;Great Earth;Chinese Folk Religion,
earth;土地;tǔdì;earth / land;Chinese Folk Religion,
earth;后土;hòutǔ;Sovereign Earth;Chinese Folk Religion,
earth;大地之母;dàdì zhī mǔ;Mother Earth;Chinese Folk Religion,
earth;地祇;dìqí;earth spirits;Chinese Folk Religion,
earth;地脉;dìmài;earth veins;Chinese Folk Religion,
earth;地灵;dìlíng;earth numina;Chinese Folk Religion,
earth;天地;tiāndì;Heaven and Earth;Cross-Tradition Terms,
ancestors;祖先;zǔxiān;ancestors / forebears;Chinese Folk Religion,
ancestors;祖宗;zǔzōng;ancestors / forbears;Chinese Folk Religion,
ancestors;先祖;xiānzǔ;former ancestors;Chinese Folk Religion,
ancestors;祖上;zǔshàng;ancestral above;Chinese Folk Religion,
ancestors;祖辈;zǔbèi;ancestral generation;Chinese Folk Religion,
ancestors;祭祖;jìzǔ;sacrifice to ancestors;Chinese Folk Religion,
ancestors;拜祖;bàizǔ;worship ancestors;Chinese Folk Religion,
ancestors;祖先崇拜;zǔxiān chóngbài;ancestor worship;Chinese Folk Religion,
ancestors;祖宗保佑;zǔzōng bǎoyòu;ancestors protect;Chinese Folk Religion,
ancestors;慎终追远;shèn zhōng zhuī yuǎn;carefully attend to funeral rites / follow ancestors;Chinese Folk Religion,
ancestral spirits;祖灵;zǔlíng;ancestral spirits;Chinese Folk Religion,
ancestral spirits;祖魂;zǔhún;ancestral souls;Chinese Folk Religion,
ancestral spirits;祖先神灵;zǔxiān shénlíng;ancestral deities;Chinese Folk Religion,
ancestral spirits;祖宗之灵;zǔzōng zhī líng;spirits of ancestors;Chinese Folk Religion,
ancestral spirits;祖灵庇佑;zǔlíng bìyòu;ancestral spirits bless;Chinese Folk Religion,
ancestral spirits;祭祖灵;jì zǔlíng;sacrifice to ancestral spirits;Chinese Folk Religion,
ancestral spirits;祖灵不安;zǔlíng bù ān;ancestral spirits unsettled;Chinese Folk Religion,
ancestral spirits;告慰祖灵;gàowèi zǔlíng;comfort ancestral spirits;Chinese Folk Religion,
ancestral spirits;祖灵显灵;zǔlíng xiǎnlíng;ancestral spirits manifest;Chinese Folk Religion,
ghosts;鬼神;guǐshén;ghosts and deities;Chinese Folk Religion,
ghosts;鬼魂;guǐhún;ghost souls;Chinese Folk Religion,
ghosts;恶鬼;èguǐ;evil ghosts;Chinese Folk Religion,
ghosts;孤魂野鬼;gūhún yěguǐ;orphaned and wild ghosts;Chinese Folk Religion,
ghosts;厉鬼;lìguǐ;fierce ghosts;Chinese Folk Religion,
ghosts;鬼怪;guǐguài;ghosts and monsters;Chinese Folk Religion,
ghosts;鬼魅;guǐmèi;ghosts and specters;Chinese Folk Religion,
ghosts;鬼门关;guǐmén guān;ghost gate pass;Chinese Folk Religion,
ghosts;见鬼;jiànguǐ;see ghosts / damn it;Chinese Folk Religion,
gods;神灵;shénlíng;divine spirits;Chinese Folk Religion,
gods;神祇;shénqí;deities / gods;Chinese Folk Religion,
gods;神像;shénxiàng;deity statues;Chinese Folk Religion,
gods;神庙;shénmiào;deity temples;Chinese Folk Religion,
gods;神坛;shéntán;deity altars;Chinese Folk Religion,
gods;神龛;shénkān;deity shrines;Chinese Folk Religion,
gods;神位;shénwèi;deity positions;Chinese Folk Religion,
earth god;土地公;tǔdì gōng;Earth God / Local Guardian;Chinese Folk Religion,
earth god;土地神;tǔdì shén;Earth Deity;Chinese Folk Religion,
earth god;土地爷;tǔdì yé;Earth Grandfather;Chinese Folk Religion,
earth god;社神;shèshén;Community Deity;Chinese Folk Religion,
earth god;福德正神;fúdé zhèngshén;Virtue and Fortune Proper Deity;Chinese Folk Religion,
earth god;祭土地;jì tǔdì;sacrifice to Earth God;Chinese Folk Religion,
earth god;土地庙;tǔdì miào;Earth God temple;Chinese Folk Religion,
earth god;拜土地公;bài tǔdì gōng;worship Earth God;Chinese Folk Religion,
earth god;土地公生日;tǔdì gōng shēngrì;Earth God's birthday;Chinese Folk Religion,
earth god;土地公保佑;tǔdì gōng bǎoyòu;Earth God protect;Chinese Folk Religion,
kitchen god;灶神;zàoshén;Kitchen God / Hearth Deity;Chinese Folk Religion,
kitchen god;灶王爷;zàowáng yé;Kitchen God Lord;Chinese Folk Religion,
kitchen god;灶君;zàojūn;Kitchen Lord;Chinese Folk Religion,
kitchen god;东厨司命;dōng chú sīmìng;Eastern Kitchen Controller of Fate;Chinese Folk Religion,
kitchen god;祭灶;jìzào;sacrifice to Kitchen God;Chinese Folk Religion,
kitchen god;送灶神;sòng zàoshén;send off Kitchen God;Chinese Folk Religion,
kitchen god;迎灶神;yíng zàoshén;welcome Kitchen God;Chinese Folk Religion,
kitchen god;灶神上天;zàoshén shàng tiān;Kitchen God ascends to Heaven;Chinese Folk Religion,
kitchen god;灶神下界;zàoshén xià jiè;Kitchen God descends to world;Chinese Folk Religion,
kitchen god;灶神报告;zàoshén bàogào;Kitchen God's report;Chinese Folk Religion,
city god;城隍;chénghuáng;City God / Municipal Deity;Chinese Folk Religion,
city god;城隍爷;chénghuáng yé;City God Lord;Chinese Folk Religion,
city god;城隍神;chénghuáng shén;City God Deity;Chinese Folk Religion,
city god;城隍庙;chénghuáng miào;City God temple;Chinese Folk Religion,
city god;都城隍;dū chénghuáng;Capital City God;Chinese Folk Religion,
city god;府城隍;fǔ chénghuáng;Prefecture City God;Chinese Folk Religion,
city god;县城隍;xiàn chénghuáng;County City God;Chinese Folk Religion,
city god;城隍出巡;chénghuáng chūxún;City God patrols;Chinese Folk Religion,
city god;城隍审案;chénghuáng shěn'àn;City God tries cases;Chinese Folk Religion,
city god;城隍老爷;chénghuáng lǎoyé;City God Old Master;Chinese Folk Religion,
door gods;门神;ménshén;Door Gods / Guardians;Chinese Folk Religion,
door gods;秦琼尉迟恭;qín qióng yùchí gōng;Qin Qiong and Yuchi Gong (door gods);Chinese Folk Religion,
door gods;神荼郁垒;shēn shū yù lǜ;Shenshu and Yulü (ancient door gods);Chinese Folk Religion,
door gods;贴门神;tiē ménshén;paste door gods;Chinese Folk Religion,
door gods;门神画像;ménshén huàxiàng;door god portraits;Chinese Folk Religion,
door gods;门神镇宅;ménshén zhèn zhái;door gods protect home;Chinese Folk Religion,
door gods;左门神;zuǒ ménshén;left door god;Chinese Folk Religion,
door gods;右门神;yòu ménshén;right door god;Chinese Folk Religion,
door gods;新年门神;xīnnián ménshén;New Year door gods;Chinese Folk Religion,
door gods;门神驱邪;ménshén qūxié;door gods expel evil;Chinese Folk Religion,
wealth god;财神;cáishén;God of Wealth;Chinese Folk Religion,
wealth god;财神爷;cáishén yé;Wealth God Lord;Chinese Folk Religion,
wealth god;文财神;wén cáishén;Civil Wealth God;Chinese Folk Religion,
wealth god;武财神;wǔ cáishén;Military Wealth God;Chinese Folk Religion,
wealth god;赵公明;zhào gōngmíng;Zhao Gongming (Wealth God);Chinese Folk Religion,
wealth god;关公财神;guān gōng cáishén;Guan Gong as Wealth God;Chinese Folk Religion,
wealth god;迎财神;yíng cáishén;welcome Wealth God;Chinese Folk Religion,
wealth god;拜财神;bài cáishén;worship Wealth God;Chinese Folk Religion,
wealth god;财神到;cáishén dào;Wealth God arrives;Chinese Folk Religion,
wealth god;招财进宝;zhāocái jìnbǎo;attract wealth / bring treasure;Chinese Folk Religion,
jade emperor;玉皇;yùhuáng;Jade Emperor / Supreme Deity;Chinese Folk Religion,
jade emperor;玉皇大帝;yùhuáng dàdì;Jade Emperor Great Deity;Chinese Folk Religion,
jade emperor;玉帝;yùdì;Jade Emperor;Chinese Folk Religion,
jade emperor;天公;tiāngōng;Heavenly Grandfather (also Jade Emperor);Chinese Folk Religion,
jade emperor;昊天金阙;hàotiān jīn quē;Vast Heaven Golden Palace;Chinese Folk Religion,
jade emperor;玉皇诞;yùhuáng dàn;Jade Emperor's birthday;Chinese Folk Religion,
jade emperor;祭玉皇;jì yùhuáng;sacrifice to Jade Emperor;Chinese Folk Religion,
jade emperor;玉皇赦罪;yùhuáng shè zuì;Jade Emperor pardons sins;Chinese Folk Religion,
jade emperor;玉皇统御;yùhuáng tǒngyù;Jade Emperor rules over;Chinese Folk Religion,
jade emperor;天庭之主;tiāntíng zhī zhǔ;Lord of Heavenly Court;Chinese Folk Religion,
dragon;神龙;shénlóng;divine dragon;Chinese Folk Religion,
dragon;龙王;lóngwáng;Dragon King;Chinese Folk Religion,
dragon;龙神;lóngshén;dragon deity;Chinese Folk Religion,
dragon;青龙;qīnglóng;Azure Dragon;Chinese Folk Religion,
dragon;金龙;jīnlóng;Golden Dragon;Chinese Folk Religion,
dragon;龙脉;lóngmài;dragon veins (geomancy);Chinese Folk Religion,
dragon;龙气;lóngqì;dragon energy;Chinese Folk Religion,
dragon;龙王爷;lóngwáng yé;Dragon King Lord;Chinese Folk Religion,
dragon;舞龙;wǔlóng;dragon dance;Chinese Folk Religion,
phoenix;凤凰;fènghuáng;phoenix;Chinese Folk Religion,
phoenix;凤凰来仪;fènghuáng lái yí;phoenix comes ceremoniously;Chinese Folk Religion,
phoenix;凤皇;fènghuáng;phoenix (alternative writing);Chinese Folk Religion,
phoenix;凤凰涅槃;fènghuáng nièpán;phoenix nirvana (rebirth);Chinese Folk Religion,
phoenix;凤凰于飞;fènghuáng yú fēi;phoenix flying;Chinese Folk Religion,
phoenix;凤求凰;fèng qiú huáng;male phoenix seeks female;Chinese Folk Religion,
phoenix;凤凰祥瑞;fènghuáng xiángruì;phoenix auspicious sign;Chinese Folk Religion,
phoenix;百鸟朝凤;bǎi niǎo cháo fèng;all birds worship phoenix;Chinese Folk Religion,
phoenix;龙凤呈祥;lóng fèng chéng xiáng;dragon and phoenix bring auspiciousness;Chinese Folk Religion,
phoenix;凤凰不落无宝之地;fènghuáng bù luò wú bǎo zhī dì;phoenix doesn't land where no treasure;Chinese Folk Religion,
qi;天气;tiānqì;heaven qi / weather;Cross-Tradition Terms,
qi;地气;dìqì;earth qi;Cross-Tradition Terms,
qi;人气;rénqì;human qi / popularity;Cross-Tradition Terms,
qi;福气;fúqì;fortune qi / blessing;Cross-Tradition Terms,
qi;运气;yùnqì;luck qi / fortune;Cross-Tradition Terms,
qi;正气;zhèngqì;upright qi;Cross-Tradition Terms,
qi;邪气;xiéqì;evil qi;Cross-Tradition Terms,
qi;晦气;huìqì;unlucky qi;Cross-Tradition Terms,
qi;杀气;shāqì;killing qi;Cross-Tradition Terms,
yin yang;阴阳调和;yīnyáng tiáohé;harmonize yin and yang;Cross-Tradition Terms,
yin yang;阴阳五行;yīnyáng wǔxíng;yin yang five elements;Cross-Tradition Terms,
yin yang;阴阳风水;yīnyáng fēngshuǐ;yin yang feng shui;Cross-Tradition Terms,
yin yang;阴阳宅;yīnyáng zhái;yin yang dwellings;Cross-Tradition Terms,
yin yang;阴阳先生;yīnyáng xiānsheng;yin yang master;Cross-Tradition Terms,
yin yang;阴阳眼;yīnyáng yǎn;yin yang eyes (see spirits);Cross-Tradition Terms,
yin yang;阴阳界;yīnyáng jiè;yin yang realm;Cross-Tradition Terms,
yin yang;阴阳相隔;yīnyáng xiāng gé;separated by yin and yang (dead/alive);Cross-Tradition Terms,
yin yang;阴阳交泰;yīnyáng jiāo tài;yin yang interact peacefully;Cross-Tradition Terms,
five elements;五行;wǔxíng;five elements / five phases;Cross-Tradition Terms,
five elements;金木水火土;jīn mù shuǐ huǒ tǔ;metal / wood / water / fire / earth;Cross-Tradition Terms,
five elements;五行相生;wǔxíng xiāngshēng;five elements mutual generation;Cross-Tradition Terms,
five elements;五行相克;wǔxíng xiāngkè;five elements mutual overcoming;Cross-Tradition Terms,
five elements;五行属相;wǔxíng shǔxiàng;five elements zodiac signs;Cross-Tradition Terms,
five elements;五行八卦;wǔxíng bāguà;five elements eight trigrams;Cross-Tradition Terms,
five elements;五行方位;wǔxíng fāngwèi;five elements directions;Cross-Tradition Terms,
five elements;五行循环;wǔxíng xúnhuán;five elements cycle;Cross-Tradition Terms,
five elements;五行平衡;wǔxíng pínghéng;five elements balance;Cross-Tradition Terms,
five elements;五行缺木;wǔxíng quē mù;five elements lack wood;Cross-Tradition Terms,
fate;命运;mìngyùn;fate / destiny;Cross-Tradition Terms,
fate;命中注定;mìngzhōng zhùdìng;destined by fate;Cross-Tradition Terms,
fate;命运多舛;mìngyùn duō chuǎn;fate full of setbacks;Cross-Tradition Terms,
fate;命运安排;mìngyùn ānpái;fate arrangement;Cross-Tradition Terms,
fate;改变命运;gǎibiàn mìngyùn;change fate;Cross-Tradition Terms,
fate;命运之神;mìngyùn zhī shén;god of fate;Chinese Folk Religion,
fate;命运转折点;mìngyùn zhuǎnzhédiǎn;turning point of fate;Cross-Tradition Terms,
fate;命运共同体;mìngyùn gòngtóngtǐ;community of shared fate;Modern Sacral,
fate;命运交响曲;mìngyùn jiāoxiǎngqǔ;symphony of fate;Cross-Tradition Terms,
fate;命运弄人;mìngyùn nòng rén;fate toys with people;Cross-Tradition Terms,
fortune;福如东海;fú rú dōng hǎi;fortune like Eastern Sea;Chinese Folk Religion,
fortune;福星高照;fúxīng gāozhào;fortune star shines brightly;Chinese Folk Religion,
fortune;福寿双全;fú shòu shuāng quán;fortune and longevity complete;Chinese Folk Religion,
fortune;福至心灵;fú zhì xīn líng;fortune arrives / heart becomes wise;Chinese Folk Religion,
fortune;福报;fúbào;fortune retribution;Chinese Folk Religion,
fortune;福地;fúdì;fortunate land;Chinese Folk Religion,
fortune;福相;fúxiàng;fortunate appearance;Chinese Folk Religion,
fortune;福荫;fúyìn;fortune protection;Chinese Folk Religion,
fortune;福禄寿;fú lù shòu;fortune / prosperity / longevity;Chinese Folk Religion,
taboo;禁忌;jìnjì;taboo / prohibition;Chinese Folk Religion,
taboo;犯禁忌;fàn jìnjì;violate taboo;Chinese Folk Religion,
taboo;禁忌语;jìnjì yǔ;taboo language;Chinese Folk Religion,
taboo;禁忌行为;jìnjì xíngwéi;taboo behavior;Chinese Folk Religion,
taboo;民间禁忌;mínjiān jìnjì;folk taboos;Chinese Folk Religion,
taboo;禁忌日子;jìnjì rìzi;taboo days;Chinese Folk Religion,
taboo;饮食禁忌;yǐnshí jìnjì;food taboos;Chinese Folk Religion,
taboo;婚姻禁忌;hūnyīn jìnjì;marriage taboos;Chinese Folk Religion,
taboo;丧葬禁忌;sāngzàng jìnjì;funeral taboos;Chinese Folk Religion,
taboo;禁忌物品;jìnjì wùpǐn;taboo objects;Chinese Folk Religion,
omen;兆头;zhàotou;omen / portent / sign;Chinese Folk Religion,
omen;吉兆;jízhào;auspicious omen;Chinese Folk Religion,
omen;凶兆;xiōngzhào;inauspicious omen;Chinese Folk Religion,
omen;预兆;yùzhào;premonition / sign;Chinese Folk Religion,
omen;好兆头;hǎo zhàotou;good omen;Chinese Folk Religion,
omen;坏兆头;huài zhàotou;bad omen;Chinese Folk Religion,
omen;兆头不好;zhàotou bù hǎo;omen not good;Chinese Folk Religion,
omen;天兆;tiānzhào;heavenly omen;Chinese Folk Religion,
omen;梦兆;mèngzhào;dream omen;Chinese Folk Religion,
omen;自然兆头;zìrán zhàotou;natural omen;Chinese Folk Religion,
ritual;仪式;yíshì;ritual / ceremony;Chinese Folk Religion,
ritual;宗教仪式;zōngjiào yíshì;religious ritual;Chinese Folk Religion,
ritual;传统仪式;chuántǒng yíshì;traditional ritual;Chinese Folk Religion,
ritual;仪式感;yíshì gǎn;sense of ritual;Chinese Folk Religion,
ritual;仪式程序;yíshì chéngxù;ritual procedure;Chinese Folk Religion,
ritual;仪式用品;yíshì yòngpǐn;ritual implements;Chinese Folk Religion,
ritual;仪式主持;yíshì zhǔchí;ritual officiant;Chinese Folk Religion,
ritual;仪式音乐;yíshì yīnyuè;ritual music;Chinese Folk Religion,
ritual;仪式舞蹈;yíshì wǔdǎo;ritual dance;Chinese Folk Religion,
ritual;仪式经文;yíshì jīngwén;ritual scriptures;Chinese Folk Religion,
sacrifice;祭祀;jìsì;sacrifice / offering / worship;Chinese Folk Religion,
sacrifice;祭天;jìtiān;sacrifice to Heaven;Chinese Folk Religion,
sacrifice;祭神;jìshén;sacrifice to deities;Chinese Folk Religion,
sacrifice;祭祀仪式;jìsì yíshì;sacrificial ritual;Chinese Folk Religion,
sacrifice;祭祀用品;jìsì yòngpǐn;sacrificial implements;Chinese Folk Religion,
sacrifice;祭祀活动;jìsì huódòng;sacrificial activities;Chinese Folk Religion,
sacrifice;祭祀文化;jìsì wénhuà;sacrificial culture;Chinese Folk Religion,
sacrifice;祭祀祖先;jìsì zǔxiān;sacrifice to ancestors;Chinese Folk Religion,
sacrifice;祭祀神灵;jìsì shénlíng;sacrifice to deities;Chinese Folk Religion,
incense;香火;xiānghuǒ;incense and fire (continuity);Chinese Folk Religion,
incense;烧香;shāoxiāng;burn incense;Chinese Folk Religion,
incense;上香;shàngxiāng;offer incense;Chinese Folk Religion,
incense;香炉;xiānglú;incense burner;Chinese Folk Religion,
incense;香案;xiāng'àn;incense table;Chinese Folk Religion,
incense;香烛;xiāngzhú;incense and candles;Chinese Folk Religion,
incense;香灰;xiānghuī;incense ash;Chinese Folk Religion,
incense;香味;xiāngwèi;incense fragrance;Chinese Folk Religion,
incense;香道;xiāngdào;way of incense;Chinese Folk Religion,
spirit money;纸钱;zhǐqián;spirit money / joss paper;Chinese Folk Religion,
spirit money;冥币;míngbì;underworld currency;Chinese Folk Religion,
spirit money;金纸;jīnzhǐ;gold paper (for deities);Chinese Folk Religion,
spirit money;银纸;yínzhǐ;silver paper (for ancestors/ghosts);Chinese Folk Religion,
spirit money;烧纸钱;shāo zhǐqián;burn spirit money;Chinese Folk Religion,
spirit money;纸钱灰;zhǐqián huī;spirit money ash;Chinese Folk Religion,
spirit money;纸扎品;zhǐzhā pǐn;paper offerings;Chinese Folk Religion,
spirit money;纸房子;zhǐ fángzi;paper house;Chinese Folk Religion,
spirit money;纸衣服;zhǐ yīfú;paper clothes;Chinese Folk Religion,
spirit money;纸汽车;zhǐ qìchē;paper car;Chinese Folk Religion,
temple;寺庙;sìmiào;Buddhist temple;Chinese Folk Religion,
temple;道观;dàoguàn;Daoist temple;Chinese Folk Religion,
temple;宗庙;zōngmiào;ancestral temple;Chinese Folk Religion,
temple;庙会;miàohuì;temple fair;Chinese Folk Religion,
temple;庙宇;miàoyǔ;temple buildings;Chinese Folk Religion,
temple;庙祝;miàozhù;temple caretaker;Chinese Folk Religion,
temple;庙堂;miàotáng;temple hall;Chinese Folk Religion,
temple;进庙;jìn miào;enter temple;Chinese Folk Religion,
feng shui;风水;fēngshuǐ;feng shui (wind and water);Chinese Folk Religion,
feng shui;看风水;kàn fēngshuǐ;read feng shui;Chinese Folk Religion,
feng shui;风水师;fēngshuǐ shī;feng shui master;Chinese Folk Religion,
feng shui;风水宝地;fēngshuǐ bǎodì;feng shui treasure land;Chinese Folk Religion,
feng shui;风水布局;fēngshuǐ bùjú;feng shui arrangement;Chinese Folk Religion,
feng shui;风水学;fēngshuǐ xué;feng shui study;Chinese Folk Religion,
feng shui;风水罗盘;fēngshuǐ luópán;feng shui compass;Chinese Folk Religion,
feng shui;风水不好;fēngshuǐ bù hǎo;bad feng shui;Chinese Folk Religion,
feng shui;风水改运;fēngshuǐ gǎi yùn;feng shui change fortune;Chinese Folk Religion,
feng shui;居家风水;jūjiā fēngshuǐ;home feng shui;Chinese Folk Religion,
protection;辟邪;bìxié;ward off evil / protection;Chinese Folk Religion,
protection;辟邪物;bìxié wù;protection object;Chinese Folk Religion,
protection;辟邪剑;bìxié jiàn;evil-warding sword;Chinese Folk Religion,
protection;辟邪符;bìxié fú;protection talisman;Chinese Folk Religion,
protection;辟邪镜;bìxié jìng;protection mirror;Chinese Folk Religion,
protection;辟邪兽;bìxié shòu;protection beast;Chinese Folk Religion,
protection;驱邪辟邪;qūxié bìxié;expel evil / ward off evil;Chinese Folk Religion,
protection;辟邪保平安;bìxié bǎo píng'ān;ward off evil / ensure peace;Chinese Folk Religion,
protection;辟邪法事;bìxié fǎshì;protection ritual;Chinese Folk Religion,
protection;居家辟邪;jūjiā bìxié;home protection;Chinese Folk Religion,
divination;占卜;zhānbǔ;divination / fortune-telling;Chinese Folk Religion,
divination;占卜术;zhānbǔ shù;divination art;Chinese Folk Religion,
divination;占卜师;zhānbǔ shī;diviner;Chinese Folk Religion,
divination;占卜问事;zhānbǔ wèn shì;divination ask about matters;Chinese Folk Religion,
divination;占卜结果;zhānbǔ jiéguǒ;divination result;Chinese Folk Religion,
divination;占卜工具;zhānbǔ gōngjù;divination tools;Chinese Folk Religion,
divination;占卜卦象;zhānbǔ guàxiàng;divination hexagram images;Chinese Folk Religion,
divination;占卜预测;zhānbǔ yùcè;divination prediction;Chinese Folk Religion,
divination;占卜吉凶;zhānbǔ jíxiōng;divination auspicious/inauspicious;Chinese Folk Religion,
divination;占卜文化;zhānbǔ wénhuà;divination culture;Chinese Folk Religion,
authority;权威;quánwēi;authority;Modern Sacral,
authority;权威性;quánwēixìng;authoritativeness;Modern Sacral,
authority;公权力;gōng quánlì;public authority;Modern Sacral,
authority;正当权威;zhèngdàng quánwēi;legitimate authority;Modern Sacral,
authority;权威机构;quánwēi jīgòu;authority institution;Modern Sacral,
comprehensiveness;全面;quánmiàn;comprehensive;Modern Sacral,
comprehensiveness;全方位;quán fāngwèi;all-round;Modern Sacral,
comprehensiveness;统筹;tǒngchóu;overall planning;Modern Sacral,
comprehensiveness;整体;zhěngtǐ;whole / holistic;Modern Sacral,
coordination;协调;xiétiáo;coordination;Modern Sacral,
coordination;协同;xiétóng;coordination / synergy;Modern Sacral,
coordination;配合;pèihé;coordination / cooperation;Modern Sacral,
coordination;协调一致;xiétiáo yīzhì;coordinated;Modern Sacral,
divinity;神;shén;divine;Modern Sacral,
divinity;神圣;shénshèng;sacred / divine;Modern Sacral,
divinity;神性;shénxìng;divine nature;Modern Sacral,
fairness;公平;gōngpíng;fairness;Modern Sacral,
fairness;公正;gōngzhèng;impartial / fair;Cross-Tradition Terms,
fairness;公平性;gōngpíngxìng;fairness;Modern Sacral,
fairness;公平正义;gōngpíng zhèngyì;fairness and justice;Modern Sacral,
fairness;一视同仁;yī shì tóng rén;treat equally;Modern Sacral,
god;上帝;shàngdì;God;Modern Sacral,
god;天;tiān;Heaven / God;Modern Sacral,
god;至高无上;zhì gāo wú shàng;supreme;Modern Sacral,
holistic_control;全局;quánjú;overall situation;Modern Sacral,
holistic_control;全局观;quánjú guān;holistic view;Modern Sacral,
holistic_control;统筹兼顾;tǒngchóu jiāngù;balance overall;Modern Sacral,
holistic_control;大局;dàjú;overall situation;Modern Sacral,
impartiality;无偏;wúpiān;impartial;Modern Sacral,
impartiality;公正无私;gōngzhèng wúsī;impartial and selfless;Modern Sacral,
impartiality;无私;wúsī;selfless;Modern Sacral,
impartiality;秉公;bǐnggōng;act impartially;Modern Sacral,
impartiality;公正持平;gōngzhèng chípíng;impartial and balanced;Modern Sacral,
justice;公道;gōngdào;fairness / justice;Modern Sacral,
justice;司法公正;sīfǎ gōngzhèng;judicial justice;Modern Sacral,
justice;正义感;zhèngyì gǎn;sense of justice;Modern Sacral,
justice;伸张正义;shēnzhāng zhèngyì;uphold justice;Modern Sacral,
justice;公正性;gōngzhèngxìng;impartiality / justice;Modern Sacral,
legitimacy;正当性;zhèngdàngxìng;legitimacy;Modern Sacral,
legitimacy;合法;héfǎ;legal / legitimate;Modern Sacral,
legitimacy;正当;zhèngdàng;legitimate / proper;Modern Sacral,
mandate;使命;shǐmìng;mission;Modern Sacral,
mandate;天职;tiānzhí;calling / vocation;Modern Sacral,
mandate;职责;zhízé;duty / mandate;Modern Sacral,
moral_authority;道德权威;dàodé quánwēi;moral authority;Modern Sacral,
moral_authority;道义权威;dàoyì quánwēi;moral authority;Modern Sacral,
moral_authority;威信;wēixìn;prestige and trust;Modern Sacral,
neutrality;中立;zhōnglì;neutral;Modern Sacral,
neutrality;不偏;bùpiān;unbiased;Modern Sacral,
neutrality;中立性;zhōnglìxìng;neutrality;Modern Sacral,
neutrality;超然;chāorán;detached / above the fray;Modern Sacral,
objectivity;客观;kèguān;objective;Modern Sacral,
objectivity;客观性;kèguānxìng;objectivity;Modern Sacral,
objectivity;客观公正;kèguān gōngzhèng;objective and impartial;Modern Sacral,
objectivity;实事求是;shí shì qiú shì;seek truth from facts;Modern Sacral,
omniscience;全知;quánzhī;all-knowing;Modern Sacral,
omniscience;全知全能;quánzhī quánnéng;omniscient and omnipotent;Modern Sacral,
omniscience;无所不知;wú suǒ bù zhī;all-knowing;Modern Sacral,
omnipotence;全能;quánnéng;almighty;Modern Sacral,
omnipotence;无所不能;wú suǒ bù néng;almighty;Modern Sacral,
omnipotence;全能性;quánnéngxìng;omnipotence;Modern Sacral,
order;秩序;zhìxù;order;Modern Sacral,
order;有序;yǒuxù;orderly;Modern Sacral,
order;社会秩序;shèhuì zhìxù;social order;Modern Sacral,
order;法治秩序;fǎzhì zhìxù;legal order;Modern Sacral,
rationality;理性;lǐxìng;rational;Modern Sacral,
rationality;理性化;lǐxìnghuà;rationalization;Modern Sacral,
rationality;理性主义;lǐxìng zhǔyì;rationalism;Modern Sacral,
rationality;合乎理性;héhū lǐxìng;rational / reasonable;Modern Sacral,
scientificity;科学性;kēxuéxìng;scientific nature;Modern Sacral,
scientificity;科学;kēxué;science / scientific;Modern Sacral,
scientificity;科学精神;kēxué jīngshén;scientific spirit;Modern Sacral,
scientificity;科学方法;kēxué fāngfǎ;scientific method;Modern Sacral,
stability;稳定;wěndìng;stability;Modern Sacral,
stability;安定;āndìng;stability / peace;Modern Sacral,
stability;稳固;wěngù;stable / solid;Modern Sacral,
stability;长治久安;chángzhì jiǔ'ān;lasting stability;Modern Sacral,
transparency;透明;tòumíng;transparent;Modern Sacral,
transparency;透明度;tòumíngdù;transparency;Modern Sacral,
transparency;公开;gōngkāi;open / public;Modern Sacral,
transparency;公开透明;gōngkāi tòumíng;open and transparent;Modern Sacral,
system;国运;Guóyùn;national destiny;Modern Sacral,
system;自主可控;Zìzhǔ kěkòng;self-reliant and controllable;Modern Sacral,
system;合法性;Héfǎxìng;legitimacy;Modern Sacral,
system;核心价值观;Héxīn jiàzhíguān;core values;Modern Sacral,
system;治理;Zhìlǐ;governance;Modern Sacral,
